,Acc_superm,Acc_postof,Acc_parks_,Acc_jobs_t,Acc_hospit
9372,9,2,11,27696,0
9373,11,1,9,11069,1
9374,15,3,33,40148,0
9375,13,3,20,18664,1
9376,40,4,20,35919,2
9377,6,1,9,10900,0
9378,24,5,39,41974,0
9379,38,2,29,46448,2
9380,14,7,44,134742,3
9381,4,0,7,14771,1
9382,11,3,22,19234,1
9383,4,2,13,12503,0
9384,17,6,24,58985,3
9385,16,3,12,45643,0
9386,0,0,4,46565,0
9387,0,0,0,1605,0
9388,16,4,32,42307,0
9389,14,1,18,12031,1
9390,54,7,49,170860,1
9391,7,2,10,10376,0
9392,11,3,24,21313,0
9393,15,3,31,26907,0
9394,3,0,5,3282,0
9395,12,2,9,27696,1
9396,0,0,3,367,0
9397,8,1,11,6093,0
9398,1,0,4,3748,0
9399,13,4,15,28878,0
9400,27,5,48,67080,0
9401,3,1,0,28357,0
9402,4,0,8,5018,0
9403,4,5,3,120719,0
9404,13,1,12,6516,0
9405,17,2,10,16913,1
9406,47,11,44,94475,1
9407,2,0,2,3518,1
9408,18,9,33,97877,4
9409,31,5,41,28047,2
9410,0,0,0,48,0
9411,31,7,59,48116,0
9412,0,0,0,0,0
9413,31,5,11,32197,3
9414,0,0,0,139,0
9415,40,5,21,44682,2
9416,30,12,81,250862,4
9417,2,1,14,10304,1
9418,9,3,51,26128,0
9419,8,1,7,11533,1
9420,28,10,83,254550,5
9421,10,2,22,31237,0
9422,20,4,12,32310,2
9423,7,2,22,53233,2
9424,16,2,24,16350,1
9425,10,2,20,57725,2
9426,18,2,9,29501,1
9427,3,0,3,1723,0
9428,8,2,20,20892,0
9429,0,0,2,229,0
9430,11,2,8,13146,1
9431,0,0,1,149,0
9432,5,2,3,31205,0
9433,4,1,11,5348,0
9434,1,0,2,1780,0
9435,10,3,20,14052,0
9436,13,3,19,32512,1
9437,0,0,3,105,0
9438,35,4,48,151931,1
9439,13,5,23,28795,0
9440,9,2,14,15206,0
9441,14,4,14,23154,0
9442,25,9,68,236831,4
9443,0,0,0,821,0
9444,12,3,19,18939,1
9445,21,4,33,35549,0
9446,60,5,53,127232,2
9447,21,4,12,39632,2
9448,27,3,40,41079,1
9449,25,5,13,31933,2
